	gene_id	gene_name	location	lncRNA ID	simplified_biotype	gene_class	w0 TPM	w1 TPM	w2 TPM	w3 TPM	w4 TPM	w5 TPM	tcons_id	xloc_id	mappable_genomes	annotated_genomes	expressed_genomes
138513	ENSG00000114127.6	XRN1	chr3:142012919-142166927 (-)		protein_coding	protein coding mRNAs	3.02	3.175	4.845	4.07	4.295	3.365	TCONS_00430419	XLOC_045524	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
138832	ENSG00000114279.9	FGF12	chr3:191855157-192456775 (-)		protein_coding	protein coding mRNAs	0.69	0.495	0.465	0.695	0.9	1.03	TCONS_00434108	XLOC_045993	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
138842	ENSG00000114279.9	FGF12	chr3:191855157-192456775 (-)		protein_coding	protein coding mRNAs	0.69	0.495	0.465	0.695	0.9	1.03	TCONS_00434117	XLOC_045993	hg19	hg19	hg19
138846	ENSG00000114279.9	FGF12	chr3:191855157-192456775 (-)		protein_coding	protein coding mRNAs	0.69	0.495	0.465	0.695	0.9	1.03	TCONS_00434118	XLOC_045993	hg19	hg19	hg19
138847	ENSG00000114279.9	FGF12	chr3:191855157-192456775 (-)		protein_coding	protein coding mRNAs	0.69	0.495	0.465	0.695	0.9	1.03	TCONS_00434111	XLOC_045993	hg19	hg19	hg19
138928	ENSG00000114316.8	USP4	chr3:49301695-49378170 (-)		protein_coding	protein coding mRNAs	0.715	0.695	0.93	0.965	1.335	1.075	TCONS_00422061	XLOC_044692	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
139215	ENSG00000114391.8	RPL24	chr3:101397497-101443757 (-)		protein_coding	protein coding mRNAs	103.9	64.185	63.975	69.02	81.015	68.865	TCONS_00425959	XLOC_045069	hg19,panTro4	hg19,panTro4	hg19
139479	ENSG00000114450.5	GNB4	chr3:179113581-179245571 (-)		protein_coding	protein coding mRNAs	2.23	1.26	1.16	1.49	1.405	1.67	TCONS_00432899	XLOC_045855	hg19,rheMac8	hg19,rheMac8	hg19
139655	ENSG00000114541.10	FRMD4B	chr3:69213826-69592187 (-)		protein_coding	protein coding mRNAs	0.685	1.66	3.94	2.61	2.58	2.385	TCONS_00424681	XLOC_044907	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
139657	ENSG00000114541.10	FRMD4B	chr3:69213826-69592187 (-)		protein_coding	protein coding mRNAs	0.685	1.66	3.94	2.61	2.58	2.385	TCONS_00424683	XLOC_044907	hg19	hg19	hg19
139660	ENSG00000114541.10	FRMD4B	chr3:69213826-69592187 (-)		protein_coding	protein coding mRNAs	0.685	1.66	3.94	2.61	2.58	2.385	TCONS_00424679	XLOC_044907	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
139663	ENSG00000114541.10	FRMD4B	chr3:69213826-69592187 (-)		protein_coding	protein coding mRNAs	0.685	1.66	3.94	2.61	2.58	2.385	TCONS_00424685	XLOC_044907	hg19	hg19	hg19
139696	ENSG00000114541.10	FRMD4B	chr3:69213826-69592187 (-)		protein_coding	protein coding mRNAs	0.685	1.66	3.94	2.61	2.58	2.385	TCONS_00424699	XLOC_044907	hg19	hg19	hg19
139728	ENSG00000114541.10	FRMD4B	chr3:69213826-69592187 (-)		protein_coding	protein coding mRNAs	0.685	1.66	3.94	2.61	2.58	2.385	TCONS_00424684	XLOC_044907	hg19	hg19	hg19
139949	ENSG00000114656.6	KIAA1257	chr3:128628708-128786697 (-)		protein_coding	protein coding mRNAs	0.41	0.645	0.735	0.655	1.015	0.4	TCONS_00428955	XLOC_045373	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
140082	ENSG00000114738.6	MAPKAPK3	chr3:50648254-50735703 (+)		protein_coding	protein coding mRNAs	1.715	1.81	1.24	1.135	0.935	1.13	TCONS_00403943	XLOC_042656	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
140093	ENSG00000114738.6	MAPKAPK3	chr3:50648254-50735703 (+)		protein_coding	protein coding mRNAs	1.715	1.81	1.24	1.135	0.935	1.13	TCONS_00403951	XLOC_042656	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
140338	ENSG00000114796.11	KLHL24	chr3:183353210-183410698 (+)		protein_coding	protein coding mRNAs	3.45	3.77	6.865	6.8	8.985	5.115	TCONS_00414609	XLOC_043932	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
140340	ENSG00000114796.11	KLHL24	chr3:183353210-183410698 (+)		protein_coding	protein coding mRNAs	3.45	3.77	6.865	6.8	8.985	5.115	TCONS_00414607	XLOC_043932	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
140341	ENSG00000114796.11	KLHL24	chr3:183353210-183410698 (+)		protein_coding	protein coding mRNAs	3.45	3.77	6.865	6.8	8.985	5.115	TCONS_00414606	XLOC_043932	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
140361	ENSG00000114796.11	KLHL24	chr3:183353210-183410698 (+)		protein_coding	protein coding mRNAs	3.45	3.77	6.865	6.8	8.985	5.115	TCONS_00414616	XLOC_043932	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
142168	ENSG00000115295.15	CLIP4	chr2:29320592-29462640 (+)		protein_coding	protein coding mRNAs	0.135	0.66	1.205	1.275	1.29	1.37	TCONS_00315582	XLOC_032742	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
142252	ENSG00000115306.11	SPTBN1	chr2:54683047-54917321 (+)		protein_coding	protein coding mRNAs	7.21	4.975	6.57	6.295	7.065	8.05	TCONS_00317923	XLOC_032998	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
142478	ENSG00000115355.11	CCDC88A	chr2:55514977-55647147 (-)		protein_coding	protein coding mRNAs	11.61	9.09	8.99	10.43	10.61	9.05	TCONS_00342796	XLOC_035777	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
143251	ENSG00000115541.6	HSPE1	chr2:198363794-198377134 (+)		protein_coding	protein coding mRNAs	17.605	5.93	4.535	4.87	3.66	3.225	TCONS_00331075	XLOC_034495	hg19	hg19	hg19
143348	ENSG00000115548.12	KDM3A	chr2:86663925-86728110 (+)		protein_coding	protein coding mRNAs	1.815	2.88	4.46	7.575	7.45	4.67	TCONS_00321215	XLOC_033385	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
143836	ENSG00000115677.12	HDLBP	chr2:242161606-242256423 (-)		protein_coding	protein coding mRNAs	10.21	9.84	10.425	9.67	8.175	10.395	TCONS_00360450	XLOC_037897	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
144056	ENSG00000115738.5	ID2	chr2:8798583-8834185 (+)		protein_coding	protein coding mRNAs	8.575	5.245	5.735	8.68	8.88	3.89	TCONS_00313183	XLOC_032502	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
144357	ENSG00000115762.12	PLEKHB2	chr2:131862242-132111282 (+)		protein_coding	protein coding mRNAs	2.935	2.255	2.65	3.325	3.97	3.125	TCONS_00325335	XLOC_033869	hg19,panTro4	hg19,panTro4	hg19
144736	ENSG00000115896.11	PLCL1	chr2:198669221-199024831 (+)		protein_coding	protein coding mRNAs	0.025	0.37	1.13	0.96	1.615	3.22	TCONS_00331112	XLOC_034499	hg19	hg19	hg19
144749	ENSG00000115896.11	PLCL1	chr2:198669221-199024831 (+)		protein_coding	protein coding mRNAs	0.025	0.37	1.13	0.96	1.615	3.22	TCONS_00331102	XLOC_034499	hg19	hg19	hg19
145027	ENSG00000115947.9	ORC4	chr2:148685567-148780471 (-)		protein_coding	protein coding mRNAs	7.075	5.48	6.375	6.1	7.56	4.31	TCONS_00350951	XLOC_036834	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
145075	ENSG00000115963.9	RND3	chr2:151324708-151395541 (-)		protein_coding	protein coding mRNAs	0.94	2.185	4.57	6.48	13.595	11.47	TCONS_00351004	XLOC_036842	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
145192	ENSG00000115977.14	AAK1	chr2:69676437-69901470 (-)		protein_coding	protein coding mRNAs	1.995	1.31	1.645	1.935	2.5	1.66	TCONS_00344292	XLOC_035984	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
145273	ENSG00000115998.3	C2orf42	chr2:70376520-70475747 (-)		protein_coding	protein coding mRNAs	0.61	0.815	1.055	1.04	1.09	1.0	TCONS_00344546	XLOC_035994	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
145274	ENSG00000115998.3	C2orf42	chr2:70376520-70475747 (-)		protein_coding	protein coding mRNAs	0.61	0.815	1.055	1.04	1.09	1.0	TCONS_00344547	XLOC_035994	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
145291	ENSG00000115998.3	C2orf42	chr2:70376520-70475747 (-)		protein_coding	protein coding mRNAs	0.61	0.815	1.055	1.04	1.09	1.0	TCONS_00344557	XLOC_035994	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
145778	ENSG00000116141.11	MARK1	chr1:220684777-220838542 (+)		protein_coding	protein coding mRNAs	2.125	1.75	3.185	2.905	3.195	3.845	TCONS_00026965	XLOC_002794	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
145969	ENSG00000116199.7	FAM20B	chr1:178986468-179067158 (+)		protein_coding	protein coding mRNAs	2.74	2.105	2.46	2.61	2.6	2.82	TCONS_00022369	XLOC_002285	hg19	hg19	hg19
146231	ENSG00000116285.8	ERRFI1	chr1:8059111-8088123 (-)		protein_coding	protein coding mRNAs	0.83	1.22	1.46	1.215	1.205	1.09	TCONS_00031875	XLOC_003319	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
146232	ENSG00000116285.8	ERRFI1	chr1:8059111-8088123 (-)		protein_coding	protein coding mRNAs	0.83	1.22	1.46	1.215	1.205	1.09	TCONS_00031874	XLOC_003319	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
146523	ENSG00000116473.10	RAP1A	chr1:112084677-112490387 (.)		protein_coding	protein coding mRNAs	1.77	1.2	1.675	1.61	1.9	1.505	TCONS_00015316	XLOC_001528	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
146533	ENSG00000116473.10	RAP1A	chr1:112084677-112490387 (.)		protein_coding	protein coding mRNAs	1.77	1.2	1.675	1.61	1.9	1.505	TCONS_00015314	XLOC_001528	hg19,rheMac8	hg19,rheMac8	hg19
146534	ENSG00000116473.10	RAP1A	chr1:112084677-112490387 (.)		protein_coding	protein coding mRNAs	1.77	1.2	1.675	1.61	1.9	1.505	TCONS_00015317	XLOC_001528	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
146631	ENSG00000116497.13	S100PBP	chr1:33282073-33365427 (.)		protein_coding	protein coding mRNAs	4.585	3.03	2.985	2.7	2.29	2.23	TCONS_00006403	XLOC_000625	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
146820	ENSG00000116580.14	GON4L	chr1:155604560-155851386 (-)		protein_coding	protein coding mRNAs	3.1	3.45	3.7	4.0	3.91	4.255	TCONS_00048407	XLOC_005036	hg19	hg19	hg19
146822	ENSG00000116580.14	GON4L	chr1:155604560-155851386 (-)		protein_coding	protein coding mRNAs	3.1	3.45	3.7	4.0	3.91	4.255	TCONS_00048410	XLOC_005036	hg19	hg19	hg19
147051	ENSG00000116641.11	DOCK7	chr1:62913131-63154400 (-)		protein_coding	protein coding mRNAs	4.095	4.705	6.405	6.025	6.11	4.49	TCONS_00040804	XLOC_004160	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
147363	ENSG00000116679.11	IVNS1ABP	chr1:185247110-185289730 (.)		protein_coding	protein coding mRNAs	6.64	6.4	7.93	7.185	6.39	5.79	TCONS_00052078	XLOC_005470	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
147735	ENSG00000116747.8	TROVE2	chr1:193020944-193064725 (.)		protein_coding	protein coding mRNAs	9.98	9.93	12.685	11.88	12.5	7.875	TCONS_00023630	XLOC_002412	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
148212	ENSG00000116874.7	WARS2	chr1:119549205-119689606 (-)		protein_coding	protein coding mRNAs	1.36	1.265	1.205	1.01	0.86	0.945	TCONS_00045379	XLOC_004742	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
148337	ENSG00000116922.10	C1orf109	chr1:38143413-38157949 (-)		protein_coding	protein coding mRNAs	1.31	1.24	1.47	1.11	0.92	1.03	TCONS_00037302	XLOC_003834	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
148446	ENSG00000116977.14	LGALS8	chr1:236680362-236721521 (+)		protein_coding	protein coding mRNAs	0.495	1.385	2.27	1.575	1.335	1.045	TCONS_00029087	XLOC_003047	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
148739	ENSG00000117114.15	LPHN2	chr1:81771813-82467843 (+)		protein_coding	protein coding mRNAs	10.94	15.875	19.515	12.45	7.05	6.835	TCONS_00012189	XLOC_001197	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
148755	ENSG00000117114.15	LPHN2	chr1:81771813-82467843 (+)		protein_coding	protein coding mRNAs	10.94	15.875	19.515	12.45	7.05	6.835	TCONS_00012191	XLOC_001197	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
149594	ENSG00000117385.11	LEPRE1	chr1:43210187-43232848 (-)		protein_coding	protein coding mRNAs	2.1	1.96	1.86	1.705	1.67	1.885	TCONS_00038110	XLOC_003918	hg19	hg19	hg19
150203	ENSG00000117543.15	DPH5	chr1:101451968-101491679 (-)		protein_coding	protein coding mRNAs	3.925	3.2	3.565	3.635	2.735	1.895	TCONS_00043588	XLOC_004528	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
150433	ENSG00000117616.13	C1orf63	chr1:25565913-25664723 (-)		protein_coding	protein coding mRNAs	3.745	4.04	4.01	3.9	3.97	3.265	TCONS_00034914	XLOC_003614	hg19	hg19	hg19
150590	ENSG00000117632.16	STMN1	chr1:26204945-26233729 (-)		protein_coding	protein coding mRNAs	17.22	14.385	19.345	20.57	28.67	26.965	TCONS_00035004	XLOC_003629	hg19	hg19	hg19
150767	ENSG00000117707.11	PROX1	chr1:214156477-214218310 (+)		protein_coding	protein coding mRNAs	0.24	0.58	1.49	0.87	0.52	0.255	TCONS_00026604	XLOC_002745	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
151045	ENSG00000117868.11	ESYT2	chr7:158515007-158622851 (-)		protein_coding	protein coding mRNAs	3.28	4.42	6.175	4.22	3.29	3.21	TCONS_00556375	XLOC_061004	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
151199	ENSG00000118007.8	STAG1	chr3:136045029-136471951 (-)		protein_coding	protein coding mRNAs	2.54	3.71	4.245	3.475	3.465	2.76	TCONS_00429890	XLOC_045444	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
151529	ENSG00000118217.5	ATF6	chr1:161735685-161945011 (+)		protein_coding	protein coding mRNAs	2.365	2.455	3.155	3.09	2.945	2.935	TCONS_00020612	XLOC_002093	hg19	hg19	hg19
151615	ENSG00000118257.12	NRP2	chr2:206546529-206662975 (+)		protein_coding	protein coding mRNAs	6.08	1.37	1.115	0.89	1.015	1.98	TCONS_00332137	XLOC_034583	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
151639	ENSG00000118257.12	NRP2	chr2:206546529-206662975 (+)		protein_coding	protein coding mRNAs	6.08	1.37	1.115	0.89	1.015	1.98	TCONS_00332136	XLOC_034583	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
151640	ENSG00000118257.12	NRP2	chr2:206546529-206662975 (+)		protein_coding	protein coding mRNAs	6.08	1.37	1.115	0.89	1.015	1.98	TCONS_00332142	XLOC_034583	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
151698	ENSG00000118263.10	KLF7	chr2:207934976-208031970 (-)		protein_coding	protein coding mRNAs	0.9	1.085	1.895	2.08	3.125	3.525	TCONS_00356486	XLOC_037388	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
151748	ENSG00000118263.10	KLF7	chr2:207934976-208031970 (-)		protein_coding	protein coding mRNAs	0.9	1.085	1.895	2.08	3.125	3.525	TCONS_00356496	XLOC_037388	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
151750	ENSG00000118263.10	KLF7	chr2:207934976-208031970 (-)		protein_coding	protein coding mRNAs	0.9	1.085	1.895	2.08	3.125	3.525	TCONS_00356483	XLOC_037388	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
152003	ENSG00000118418.10	HMGN3	chr6:79899727-80023082 (-)		protein_coding	protein coding mRNAs	6.335	5.66	5.095	4.135	2.7	1.975	TCONS_00518210	XLOC_056566	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
152008	ENSG00000118418.10	HMGN3	chr6:79899727-80023082 (-)		protein_coding	protein coding mRNAs	6.335	5.66	5.095	4.135	2.7	1.975	TCONS_00518209	XLOC_056566	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
152020	ENSG00000118418.10	HMGN3	chr6:79899727-80023082 (-)		protein_coding	protein coding mRNAs	6.335	5.66	5.095	4.135	2.7	1.975	TCONS_00518206	XLOC_056566	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
152254	ENSG00000118496.4	FBXO30	chr6:146088235-146136678 (-)		protein_coding	protein coding mRNAs	2.25	1.835	1.945	1.855	1.86	1.225	TCONS_00523647	XLOC_057203	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
153022	ENSG00000118939.13	UCHL3	chr13:76123641-76200245 (+)		protein_coding	protein coding mRNAs	2.085	1.485	1.275	1.18	1.28	1.115	TCONS_00156410	XLOC_016731	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
153331	ENSG00000119041.6	GTF3C3	chr2:197608289-197664578 (.)		protein_coding	protein coding mRNAs	4.2	4.07	3.965	3.66	3.635	2.53	TCONS_00331010	XLOC_034481	hg19	hg19	hg19
153348	ENSG00000119042.12	SATB2	chr2:200133566-200335989 (-)		protein_coding	protein coding mRNAs	0.98	0.955	1.22	0.81	0.495	0.995	TCONS_00355655	XLOC_037304	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
153359	ENSG00000119042.12	SATB2	chr2:200133566-200335989 (-)		protein_coding	protein coding mRNAs	0.98	0.955	1.22	0.81	0.495	0.995	TCONS_00355661	XLOC_037304	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
153387	ENSG00000119042.12	SATB2	chr2:200133566-200335989 (-)		protein_coding	protein coding mRNAs	0.98	0.955	1.22	0.81	0.495	0.995	TCONS_00355636	XLOC_037305	hg19	hg19	hg19
153598	ENSG00000119231.6	SENP5	chr3:196594711-196673952 (+)		protein_coding	protein coding mRNAs	2.63	2.835	3.67	3.315	3.3	2.835	TCONS_00416581	XLOC_044145	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
153654	ENSG00000119280.12	C1orf198	chr1:230966596-231005337 (-)		protein_coding	protein coding mRNAs	1.74	2.685	3.955	2.835	1.84	1.71	TCONS_00056471	XLOC_006017	hg19,rheMac8	hg19,rheMac8	hg19
154028	ENSG00000119401.10	TRIM32	chr9:119449598-119481653 (+)		protein_coding	protein coding mRNAs	0.79	0.775	0.84	0.87	1.185	1.07	TCONS_00588703	XLOC_065250	hg19	hg19	hg19
154116	ENSG00000119408.12	NEK6	chr9:127019782-127146935 (+)		protein_coding	protein coding mRNAs	0.895	1.09	1.44	0.99	0.695	1.305	TCONS_00589300	XLOC_065313	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
154133	ENSG00000119408.12	NEK6	chr9:127019782-127146935 (+)		protein_coding	protein coding mRNAs	0.895	1.09	1.44	0.99	0.695	1.305	TCONS_00589273	XLOC_065313	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
154327	ENSG00000119509.8	INVS	chr9:102860859-103086360 (+)		protein_coding	protein coding mRNAs	1.47	1.57	2.14	1.575	1.46	1.585	TCONS_00587164	XLOC_065032	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
154499	ENSG00000119547.5	ONECUT2	chr18:55102605-55163111 (+)		protein_coding	protein coding mRNAs	0.065	0.735	2.045	1.695	1.495	0.375	TCONS_00270847	XLOC_028611	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
154504	ENSG00000119547.5	ONECUT2	chr18:55102605-55163111 (+)		protein_coding	protein coding mRNAs	0.065	0.735	2.045	1.695	1.495	0.375	TCONS_00270848	XLOC_028611	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
154699	ENSG00000119638.8	NEK9	chr14:75538852-75594554 (-)		protein_coding	protein coding mRNAs	3.355	3.56	3.825	2.845	2.415	1.84	TCONS_00183244	XLOC_019891	hg19	hg19	hg19
155435	ENSG00000119729.6	RHOQ	chr2:46768923-46828018 (+)		protein_coding	protein coding mRNAs	1.17	0.98	1.65	1.025	1.275	0.92	TCONS_00317272	XLOC_032912	hg19,panTro4,rheMac8	hg19,panTro4,rheMac8	hg19
155736	ENSG00000119787.9	ATL2	chr2:38516760-38606541 (-)		protein_coding	protein coding mRNAs	5.66	4.005	3.895	3.515	3.61	2.78	TCONS_00341212	XLOC_035586	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
156068	ENSG00000119927.9	GPAM	chr10:113175355-113987435 (-)		protein_coding	protein coding mRNAs	0.775	1.075	1.355	1.415	1.305	0.955	TCONS_00081641	XLOC_009022	hg19,ponAbe2	hg19,ponAbe2	hg19
156069	ENSG00000119927.9	GPAM	chr10:113175355-113987435 (-)		protein_coding	protein coding mRNAs	0.775	1.075	1.355	1.415	1.305	0.955	TCONS_00081640	XLOC_009022	hg19,ponAbe2	hg19,ponAbe2	hg19
156070	ENSG00000119927.9	GPAM	chr10:113175355-113987435 (-)		protein_coding	protein coding mRNAs	0.775	1.075	1.355	1.415	1.305	0.955	TCONS_00081650	XLOC_009022	hg19,ponAbe2	hg19,ponAbe2	hg19
156071	ENSG00000119927.9	GPAM	chr10:113175355-113987435 (-)		protein_coding	protein coding mRNAs	0.775	1.075	1.355	1.415	1.305	0.955	TCONS_00081643	XLOC_009022	hg19,ponAbe2	hg19,ponAbe2	hg19
156072	ENSG00000119927.9	GPAM	chr10:113175355-113987435 (-)		protein_coding	protein coding mRNAs	0.775	1.075	1.355	1.415	1.305	0.955	TCONS_00081648	XLOC_009022	hg19,ponAbe2	hg19,ponAbe2	hg19
156233	ENSG00000119969.10	HELLS	chr10:96303829-96390942 (+)		protein_coding	protein coding mRNAs	18.865	10.02	8.02	6.59	3.535	3.005	TCONS_00066690	XLOC_007299	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
156574	ENSG00000120071.8	KANSL1	chr17:44106558-44304138 (-)		protein_coding	protein coding mRNAs	7.08	6.995	7.985	7.705	7.545	7.175	TCONS_00259363	XLOC_027421	hg19	hg19	hg19
156575	ENSG00000120071.8	KANSL1	chr17:44106558-44304138 (-)		protein_coding	protein coding mRNAs	7.08	6.995	7.985	7.705	7.545	7.175	TCONS_00259362	XLOC_027421	hg19,panTro4	hg19,panTro4	hg19
156581	ENSG00000120071.8	KANSL1	chr17:44106558-44304138 (-)		protein_coding	protein coding mRNAs	7.08	6.995	7.985	7.705	7.545	7.175	TCONS_00259357	XLOC_027421	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
156589	ENSG00000120071.8	KANSL1	chr17:44106558-44304138 (-)		protein_coding	protein coding mRNAs	7.08	6.995	7.985	7.705	7.545	7.175	TCONS_00259358	XLOC_027421	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
156591	ENSG00000120071.8	KANSL1	chr17:44106558-44304138 (-)		protein_coding	protein coding mRNAs	7.08	6.995	7.985	7.705	7.545	7.175	TCONS_00259374	XLOC_027421	hg19,panTro4,rheMac8	hg19,panTro4,rheMac8	hg19
156592	ENSG00000120071.8	KANSL1	chr17:44106558-44304138 (-)		protein_coding	protein coding mRNAs	7.08	6.995	7.985	7.705	7.545	7.175	TCONS_00259375	XLOC_027421	hg19,panTro4,rheMac8	hg19,panTro4,rheMac8	hg19
156645	ENSG00000120093.7	HOXB3	chr17:46624591-46682348 (-)		protein_coding	protein coding mRNAs	0.05	0.25	1.51	1.06	1.585	1.525	TCONS_00259936	XLOC_027483	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
156666	ENSG00000120093.7	HOXB3	chr17:46624591-46682348 (-)		protein_coding	protein coding mRNAs	0.05	0.25	1.51	1.06	1.585	1.525	TCONS_00259937	XLOC_027483	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
156727	ENSG00000120149.7	MSX2	chr5:174148338-174160985 (+)		protein_coding	protein coding mRNAs	0.645	0.2	0.82	1.235	0.975	0.51	TCONS_00477129	XLOC_051473	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
156728	ENSG00000120149.7	MSX2	chr5:174148338-174160985 (+)		protein_coding	protein coding mRNAs	0.645	0.2	0.82	1.235	0.975	0.51	TCONS_00477128	XLOC_051473	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
157451	ENSG00000120549.11	KIAA1217	chr10:23983660-24837266 (+)		protein_coding	protein coding mRNAs	1.98	1.12	0.865	0.625	0.31	0.795	TCONS_00060538	XLOC_006548	hg19,panTro4,rheMac8	hg19,panTro4,rheMac8	hg19
157559	ENSG00000120616.11	EPC1	chr10:32550384-32668392 (-)		protein_coding	protein coding mRNAs	2.19	2.515	3.325	3.09	3.51	3.605	TCONS_00074396	XLOC_008153	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
